# id	mode	manifest	selfhost	expectation	coverage
project-check	check-pass	conformance/projects/basic/slim.project	parity	-	project:manifest-shape,project:module-identity,project:entry,project:imports,project:selfhost-classification,syntax:qualified-reference
project-interfaces	interfaces	conformance/projects/basic/slim.project	parity	-	project:interfaces
project-run	run	conformance/projects/basic/slim.project	parity	exit=0;stdout=41\n;stderr=	project:runtime
project-emit	emit	conformance/projects/basic/slim.project	parity	-	project:determinism
project-format	format	conformance/projects/basic/slim.project	parity	-	project:format
project-relocate	relocate	conformance/projects/basic/slim.project	parity	-	project:relocation
project-cache	cache-corruption	conformance/projects/basic/slim.project	stage0-only(project-cache)	-	project:cache-corruption
project-jobs	jobs	conformance/projects/basic/slim.project	parity	-	project:jobs
project-incremental	incremental	conformance/projects/basic/slim.project	parity	-	project:incremental
project-private	check-fail	conformance/projects/private/slim.project	parity	E0415@app@56:77	project:visibility,project:diagnostics
project-cycle	check-fail	conformance/projects/cycle/slim.project	parity	E0413@-@29:30	project:cycles,project:diagnostics
project-version	check-fail	conformance/projects/malformed/slim.project	parity	E0402@-@9:10	project:manifest-version,project:diagnostics
project-path-escape	check-fail	conformance/projects/rules/path-escape.project	parity	E0407@-@77:88	project:path-confinement,project:diagnostics
project-missing-source	check-fail	conformance/projects/rules/missing-source.project	parity	E0409@app@35:49	project:diagnostics
project-module-mismatch	check-fail	conformance/projects/rules/module-mismatch.project	parity	E0410@app@31:34	project:source-identity,project:diagnostics
project-unknown-import	check-fail	conformance/projects/rules/unknown-import.project	parity	E0411@-@55:62	project:imports,project:diagnostics
project-self-import	check-fail	conformance/projects/rules/self-import.project	parity	E0412@-@55:58	project:imports,project:diagnostics
project-duplicate-module	check-fail	conformance/projects/rules/duplicate-module.project	parity	E0406@-@75:78,E0408@-@75:78	project:manifest-order,project:module-identity,project:diagnostics
project-duplicate-path	check-fail	conformance/projects/rules/duplicate-path.project	parity	E0408@-@83:93	project:path-identity,project:diagnostics
project-unsorted-modules	check-fail	conformance/projects/rules/unsorted-modules.project	parity	E0406@-@89:92	project:manifest-order,project:diagnostics
project-unknown-entry	check-fail	conformance/projects/rules/unknown-entry.project	parity	E0403@-@18:25	project:entry,project:diagnostics
project-absent-export	check-fail	conformance/projects/rules/absent-export.project	parity	E0414@app@65:72	project:exports,project:diagnostics
project-missing-main	check-fail	conformance/projects/rules/missing-main.project	parity	E0419@app@0:42	project:entry-main,project:diagnostics
project-nonentry-main	check-fail	conformance/projects/rules/nonentry-main.project	parity	E0419@library@16:62	project:entry-main,project:diagnostics
project-private-type-leak	check-fail	conformance/projects/rules/private-type-leak.project	parity	E0418@library@114:120,E0418@library@114:120	project:public-type-closure,project:diagnostics
project-unimported-reference	check-fail	conformance/projects/rules/unimported-reference.project	parity	E0416@app@56:76	project:direct-import,project:diagnostics
project-self-qualified	check-fail	conformance/projects/rules/self-qualified-reference.project	parity	E0417@app@87:104	project:local-qualification,project:diagnostics
project-wrong-kind	check-fail	conformance/projects/rules/wrong-kind-reference.project	parity	E0415@app@56:77	project:visibility,project:diagnostics
